"filename", "language", "JavaScript", "CSS", "comment", "blank", "total"
"e:\NewDashboard\client\src\App.js", "JavaScript", 24, 0, 0, 4, 28
"e:\NewDashboard\client\src\ComponentsCss\Charts.css", "CSS", 0, 6, 0, 0, 6
"e:\NewDashboard\client\src\ComponentsCss\Complaints.css", "CSS", 0, 118, 7, 24, 149
"e:\NewDashboard\client\src\ComponentsCss\FeedbackStats.css", "CSS", 0, 16, 0, 4, 20
"e:\NewDashboard\client\src\ComponentsCss\GenerateReports.css", "CSS", 0, 35, 2, 4, 41
"e:\NewDashboard\client\src\ComponentsCss\Home.css", "CSS", 0, 163, 6, 38, 207
"e:\NewDashboard\client\src\ComponentsCss\ManageComplaints.css", "CSS", 0, 14, 1, 4, 19
"e:\NewDashboard\client\src\ComponentsCss\Menu.css", "CSS", 0, 26, 19, 12, 57
"e:\NewDashboard\client\src\ComponentsCss\Profile.css", "CSS", 0, 46, 6, 8, 60
"e:\NewDashboard\client\src\ComponentsCss\Supervisor.css", "CSS", 0, 56, 2, 12, 70
"e:\NewDashboard\client\src\ComponentsCss\ZoneStats.css", "CSS", 0, 20, 10, 4, 34
"e:\NewDashboard\client\src\ComponentsCss\resolveTimeAnalysis.css", "CSS", 0, 21, 0, 4, 25
"e:\NewDashboard\client\src\Components\Complaint\Assignment\AssignmentDialog.js", "JavaScript", 145, 0, 0, 21, 166
"e:\NewDashboard\client\src\Components\Complaint\Assignment\SupervisorTable.js", "JavaScript", 79, 0, 0, 8, 87
"e:\NewDashboard\client\src\Components\Complaint\Charts\PriorityVisualize.js", "JavaScript", 90, 0, 0, 3, 93
"e:\NewDashboard\client\src\Components\Complaint\Charts\Visualize.js", "JavaScript", 146, 0, 6, 8, 160
"e:\NewDashboard\client\src\Components\Complaint\ComplaintDialog\ComplaintDetails.js", "JavaScript", 85, 0, 4, 12, 101
"e:\NewDashboard\client\src\Components\Complaint\ComplaintDialog\ComplaintDialog.js", "JavaScript", 146, 0, 0, 18, 164
"e:\NewDashboard\client\src\Components\Complaint\ComplaintDialog\ComplaintProgress.js", "JavaScript", 356, 0, 29, 25, 410
"e:\NewDashboard\client\src\Components\Complaint\ComplaintDialog\Details.js", "JavaScript", 18, 0, 0, 2, 20
"e:\NewDashboard\client\src\Components\Complaint\ComplaintDialog\Reason.js", "JavaScript", 98, 0, 0, 10, 108
"e:\NewDashboard\client\src\Components\Complaint\ComplaintDialog\Select.js", "JavaScript", 129, 0, 0, 13, 142
"e:\NewDashboard\client\src\Components\Complaint\ComplaintDialog\SelectSupervisor.js", "JavaScript", 103, 0, 3, 11, 117
"e:\NewDashboard\client\src\Components\Complaint\ComplaintDialog\UplaodAfterImage.js", "JavaScript", 53, 0, 42, 10, 105
"e:\NewDashboard\client\src\Components\Complaint\ComplaintDialog\UserTable.js", "JavaScript", 120, 0, 3, 9, 132
"e:\NewDashboard\client\src\Components\Complaint\Complaints.js", "JavaScript", 676, 0, 129, 69, 874
"e:\NewDashboard\client\src\Components\Complaint\Filters\AllSelectFilters.js", "JavaScript", 62, 0, 0, 6, 68
"e:\NewDashboard\client\src\Components\Complaint\Filters\FilterDrawer.js", "JavaScript", 95, 0, 19, 7, 121
"e:\NewDashboard\client\src\Components\Complaint\Filters\SelectFilter.js", "JavaScript", 108, 0, 8, 15, 131
"e:\NewDashboard\client\src\Components\Complaint\Status.js", "JavaScript", 62, 0, 1, 6, 69
"e:\NewDashboard\client\src\Components\Drawer.js", "JavaScript", 0, 0, 0, 1, 1
"e:\NewDashboard\client\src\Components\Employees\Employees.js", "JavaScript", 9, 0, 0, 3, 12
"e:\NewDashboard\client\src\Components\Home\Charts.js", "JavaScript", 421, 0, 5, 51, 477
"e:\NewDashboard\client\src\Components\Home\FeedbackStats.js", "JavaScript", 151, 0, 6, 30, 187
"e:\NewDashboard\client\src\Components\Home\Home.js", "JavaScript", 306, 0, 27, 43, 376
"e:\NewDashboard\client\src\Components\Home\ResolveTimeAnalysisStats.js", "JavaScript", 178, 0, 1, 17, 196
"e:\NewDashboard\client\src\Components\Home\ZoneStats.js", "JavaScript", 230, 0, 16, 30, 276
"e:\NewDashboard\client\src\Components\ManageComplaints\FeedbackTags\FeedbackTags.js", "JavaScript", 240, 0, 7, 10, 257
"e:\NewDashboard\client\src\Components\ManageComplaints\FeedbackTags\Stars.js", "JavaScript", 101, 0, 6, 5, 112
"e:\NewDashboard\client\src\Components\ManageComplaints\ManageComplaints.js", "JavaScript", 143, 0, 1, 13, 157
"e:\NewDashboard\client\src\Components\ManageComplaints\ReasonforRejection.js", "JavaScript", 203, 0, 3, 13, 219
"e:\NewDashboard\client\src\Components\ManageComplaints\Type\AddType.js", "JavaScript", 111, 0, 61, 13, 185
"e:\NewDashboard\client\src\Components\ManageComplaints\Type\ComplaintTypes.js", "JavaScript", 85, 0, 2, 6, 93
"e:\NewDashboard\client\src\Components\ManageComplaints\Type\Type.js", "JavaScript", 188, 0, 51, 13, 252
"e:\NewDashboard\client\src\Components\Menu.js", "JavaScript", 256, 0, 47, 26, 329
"e:\NewDashboard\client\src\Components\Notification.js", "JavaScript", 30, 0, 8, 15, 53
"e:\NewDashboard\client\src\Components\Profile\Alerts.js", "JavaScript", 171, 0, 20, 10, 201
"e:\NewDashboard\client\src\Components\Profile\ChangePassword.js", "JavaScript", 194, 0, 5, 17, 216
"e:\NewDashboard\client\src\Components\Profile\ImageComponent.js", "JavaScript", 83, 0, 106, 14, 203
"e:\NewDashboard\client\src\Components\Profile\Profile.js", "JavaScript", 454, 0, 42, 27, 523
"e:\NewDashboard\client\src\Components\Profile\UserStatistics.js", "JavaScript", 129, 0, 2, 10, 141
"e:\NewDashboard\client\src\Components\Reports\GenerateReports.js", "JavaScript", 816, 0, 126, 110, 1052
"e:\NewDashboard\client\src\Components\Reports\PdfMakeTable.js", "JavaScript", 61, 0, 0, 21, 82
"e:\NewDashboard\client\src\Components\Routes\AdminRoute.js", "JavaScript", 28, 0, 1, 4, 33
"e:\NewDashboard\client\src\Components\Routes\PrivateRoute.js", "JavaScript", 27, 0, 2, 6, 35
"e:\NewDashboard\client\src\Components\Routes\PublicRoute.js", "JavaScript", 28, 0, 1, 6, 35
"e:\NewDashboard\client\src\Components\Supervisor\AddForm.js", "JavaScript", 531, 0, 4, 25, 560
"e:\NewDashboard\client\src\Components\Supervisor\DeleteDialog.js", "JavaScript", 62, 0, 8, 7, 77
"e:\NewDashboard\client\src\Components\Supervisor\EditDialog.js", "JavaScript", 188, 0, 1, 11, 200
"e:\NewDashboard\client\src\Components\Supervisor\ResolveTime.js", "JavaScript", 219, 0, 0, 16, 235
"e:\NewDashboard\client\src\Components\Supervisor\Supervisors.js", "JavaScript", 831, 0, 151, 48, 1030
"e:\NewDashboard\client\src\PagesCss\Dashboard.css", "CSS", 0, 104, 6, 23, 133
"e:\NewDashboard\client\src\PagesCss\Error.css", "CSS", 0, 51, 35, 10, 96
"e:\NewDashboard\client\src\PagesCss\Login.css", "CSS", 0, 23, 0, 5, 28
"e:\NewDashboard\client\src\Pages\Dashboard.js", "JavaScript", 564, 0, 43, 46, 653
"e:\NewDashboard\client\src\Pages\Error.js", "JavaScript", 24, 0, 2, 4, 30
"e:\NewDashboard\client\src\Pages\Login.js", "JavaScript", 182, 0, 4, 25, 211
"e:\NewDashboard\client\src\assets\css\charts-and-graphs.css", "CSS", 0, 527, 19, 95, 641
"e:\NewDashboard\client\src\assets\css\reportsCss.css", "CSS", 0, 89, 1, 20, 110
"e:\NewDashboard\client\src\assets\jss\material-dashboard-react.js", "JavaScript", 257, 0, 26, 20, 303
"e:\NewDashboard\client\src\index.css", "CSS", 0, 12, 0, 2, 14
"e:\NewDashboard\client\src\index.js", "JavaScript", 12, 0, 0, 4, 16
"e:\NewDashboard\client\src\init-fcm.js", "JavaScript", 13, 0, 1, 1, 15
"e:\NewDashboard\client\src\serviceWorker.js", "JavaScript", 98, 0, 31, 13, 142
"Total", "-", 10219, 1327, 1175, 1260, 13981
