Date : 2020-09-19 16:03:21
Directory : e:\NewDashboard\client\src
Total : 74 files,  11546 codes, 1175 comments, 1260 blanks, all 13981 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JavaScript |         57 |     10,219 |      1,061 |        991 |     12,271 |
| CSS        |         17 |      1,327 |        114 |        269 |      1,710 |
+------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                 | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                    |         74 |     11,546 |      1,175 |      1,260 |     13,981 |
| Components                                                                           |         49 |      9,045 |        954 |        874 |     10,873 |
| ComponentsCss                                                                        |         11 |        521 |         53 |        114 |        688 |
| Components\Complaint                                                                 |         18 |      2,571 |        244 |        253 |      3,068 |
| Components\Complaint\Assignment                                                      |          2 |        224 |          0 |         29 |        253 |
| Components\Complaint\Charts                                                          |          2 |        236 |          6 |         11 |        253 |
| Components\Complaint\ComplaintDialog                                                 |          9 |      1,108 |         81 |        110 |      1,299 |
| Components\Complaint\Filters                                                         |          3 |        265 |         27 |         28 |        320 |
| Components\Employees                                                                 |          1 |          9 |          0 |          3 |         12 |
| Components\Home                                                                      |          5 |      1,286 |         55 |        171 |      1,512 |
| Components\ManageComplaints                                                          |          7 |      1,071 |        131 |         73 |      1,275 |
| Components\ManageComplaints\FeedbackTags                                             |          2 |        341 |         13 |         15 |        369 |
| Components\ManageComplaints\Type                                                     |          3 |        384 |        114 |         32 |        530 |
| Components\Profile                                                                   |          5 |      1,031 |        175 |         78 |      1,284 |
| Components\Reports                                                                   |          2 |        877 |        126 |        131 |      1,134 |
| Components\Routes                                                                    |          3 |         83 |          4 |         16 |        103 |
| Components\Supervisor                                                                |          5 |      1,831 |        164 |        107 |      2,102 |
| Pages                                                                                |          3 |        770 |         49 |         75 |        894 |
| PagesCss                                                                             |          3 |        178 |         41 |         38 |        257 |
| assets                                                                               |          3 |        873 |         46 |        135 |      1,054 |
| assets\css                                                                           |          2 |        616 |         20 |        115 |        751 |
| assets\jss                                                                           |          1 |        257 |         26 |         20 |        303 |
+--------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                             | language   | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| e:\NewDashboard\client\src\App.js                                                    | JavaScript |         24 |          0 |          4 |         28 |
| e:\NewDashboard\client\src\ComponentsCss\Charts.css                                  | CSS        |          6 |          0 |          0 |          6 |
| e:\NewDashboard\client\src\ComponentsCss\Complaints.css                              | CSS        |        118 |          7 |         24 |        149 |
| e:\NewDashboard\client\src\ComponentsCss\FeedbackStats.css                           | CSS        |         16 |          0 |          4 |         20 |
| e:\NewDashboard\client\src\ComponentsCss\GenerateReports.css                         | CSS        |         35 |          2 |          4 |         41 |
| e:\NewDashboard\client\src\ComponentsCss\Home.css                                    | CSS        |        163 |          6 |         38 |        207 |
| e:\NewDashboard\client\src\ComponentsCss\ManageComplaints.css                        | CSS        |         14 |          1 |          4 |         19 |
| e:\NewDashboard\client\src\ComponentsCss\Menu.css                                    | CSS        |         26 |         19 |         12 |         57 |
| e:\NewDashboard\client\src\ComponentsCss\Profile.css                                 | CSS        |         46 |          6 |          8 |         60 |
| e:\NewDashboard\client\src\ComponentsCss\Supervisor.css                              | CSS        |         56 |          2 |         12 |         70 |
| e:\NewDashboard\client\src\ComponentsCss\ZoneStats.css                               | CSS        |         20 |         10 |          4 |         34 |
| e:\NewDashboard\client\src\ComponentsCss\resolveTimeAnalysis.css                     | CSS        |         21 |          0 |          4 |         25 |
| e:\NewDashboard\client\src\Components\Complaint\Assignment\AssignmentDialog.js       | JavaScript |        145 |          0 |         21 |        166 |
| e:\NewDashboard\client\src\Components\Complaint\Assignment\SupervisorTable.js        | JavaScript |         79 |          0 |          8 |         87 |
| e:\NewDashboard\client\src\Components\Complaint\Charts\PriorityVisualize.js          | JavaScript |         90 |          0 |          3 |         93 |
| e:\NewDashboard\client\src\Components\Complaint\Charts\Visualize.js                  | JavaScript |        146 |          6 |          8 |        160 |
| e:\NewDashboard\client\src\Components\Complaint\ComplaintDialog\ComplaintDetails.js  | JavaScript |         85 |          4 |         12 |        101 |
| e:\NewDashboard\client\src\Components\Complaint\ComplaintDialog\ComplaintDialog.js   | JavaScript |        146 |          0 |         18 |        164 |
| e:\NewDashboard\client\src\Components\Complaint\ComplaintDialog\ComplaintProgress.js | JavaScript |        356 |         29 |         25 |        410 |
| e:\NewDashboard\client\src\Components\Complaint\ComplaintDialog\Details.js           | JavaScript |         18 |          0 |          2 |         20 |
| e:\NewDashboard\client\src\Components\Complaint\ComplaintDialog\Reason.js            | JavaScript |         98 |          0 |         10 |        108 |
| e:\NewDashboard\client\src\Components\Complaint\ComplaintDialog\Select.js            | JavaScript |        129 |          0 |         13 |        142 |
| e:\NewDashboard\client\src\Components\Complaint\ComplaintDialog\SelectSupervisor.js  | JavaScript |        103 |          3 |         11 |        117 |
| e:\NewDashboard\client\src\Components\Complaint\ComplaintDialog\UplaodAfterImage.js  | JavaScript |         53 |         42 |         10 |        105 |
| e:\NewDashboard\client\src\Components\Complaint\ComplaintDialog\UserTable.js         | JavaScript |        120 |          3 |          9 |        132 |
| e:\NewDashboard\client\src\Components\Complaint\Complaints.js                        | JavaScript |        676 |        129 |         69 |        874 |
| e:\NewDashboard\client\src\Components\Complaint\Filters\AllSelectFilters.js          | JavaScript |         62 |          0 |          6 |         68 |
| e:\NewDashboard\client\src\Components\Complaint\Filters\FilterDrawer.js              | JavaScript |         95 |         19 |          7 |        121 |
| e:\NewDashboard\client\src\Components\Complaint\Filters\SelectFilter.js              | JavaScript |        108 |          8 |         15 |        131 |
| e:\NewDashboard\client\src\Components\Complaint\Status.js                            | JavaScript |         62 |          1 |          6 |         69 |
| e:\NewDashboard\client\src\Components\Drawer.js                                      | JavaScript |          0 |          0 |          1 |          1 |
| e:\NewDashboard\client\src\Components\Employees\Employees.js                         | JavaScript |          9 |          0 |          3 |         12 |
| e:\NewDashboard\client\src\Components\Home\Charts.js                                 | JavaScript |        421 |          5 |         51 |        477 |
| e:\NewDashboard\client\src\Components\Home\FeedbackStats.js                          | JavaScript |        151 |          6 |         30 |        187 |
| e:\NewDashboard\client\src\Components\Home\Home.js                                   | JavaScript |        306 |         27 |         43 |        376 |
| e:\NewDashboard\client\src\Components\Home\ResolveTimeAnalysisStats.js               | JavaScript |        178 |          1 |         17 |        196 |
| e:\NewDashboard\client\src\Components\Home\ZoneStats.js                              | JavaScript |        230 |         16 |         30 |        276 |
| e:\NewDashboard\client\src\Components\ManageComplaints\FeedbackTags\FeedbackTags.js  | JavaScript |        240 |          7 |         10 |        257 |
| e:\NewDashboard\client\src\Components\ManageComplaints\FeedbackTags\Stars.js         | JavaScript |        101 |          6 |          5 |        112 |
| e:\NewDashboard\client\src\Components\ManageComplaints\ManageComplaints.js           | JavaScript |        143 |          1 |         13 |        157 |
| e:\NewDashboard\client\src\Components\ManageComplaints\ReasonforRejection.js         | JavaScript |        203 |          3 |         13 |        219 |
| e:\NewDashboard\client\src\Components\ManageComplaints\Type\AddType.js               | JavaScript |        111 |         61 |         13 |        185 |
| e:\NewDashboard\client\src\Components\ManageComplaints\Type\ComplaintTypes.js        | JavaScript |         85 |          2 |          6 |         93 |
