"filename", "language", "CSS", "JavaScript", "comment", "blank", "total"
"e:\NewDashboard\client\src\ComponentsCss\Charts.css", "CSS", 6, 0, 0, 0, 6
"e:\NewDashboard\client\src\ComponentsCss\Complaints.css", "CSS", 118, 0, 7, 24, 149
"e:\NewDashboard\client\src\ComponentsCss\FeedbackStats.css", "CSS", 16, 0, 0, 4, 20
"e:\NewDashboard\client\src\ComponentsCss\GenerateReports.css", "CSS", 35, 0, 2, 4, 41
"e:\NewDashboard\client\src\ComponentsCss\Home.css", "CSS", 163, 0, 6, 38, 207
"e:\NewDashboard\client\src\ComponentsCss\ManageComplaints.css", "CSS", 14, 0, 1, 4, 19
"e:\NewDashboard\client\src\ComponentsCss\Menu.css", "CSS", 26, 0, 19, 12, 57
"e:\NewDashboard\client\src\ComponentsCss\Profile.css", "CSS", 46, 0, 6, 8, 60
"e:\NewDashboard\client\src\ComponentsCss\Supervisor.css", "CSS", 56, 0, 2, 12, 70
"e:\NewDashboard\client\src\ComponentsCss\ZoneStats.css", "CSS", 20, 0, 10, 4, 34
"e:\NewDashboard\client\src\ComponentsCss\resolveTimeAnalysis.css", "CSS", 21, 0, 0, 4, 25
"e:\NewDashboard\client\src\Components\Complaint\Assignment\AssignmentDialog.js", "JavaScript", 0, 145, 0, 21, 166
"e:\NewDashboard\client\src\Components\Complaint\Assignment\SupervisorTable.js", "JavaScript", 0, 79, 0, 8, 87
"e:\NewDashboard\client\src\Components\Complaint\Charts\PriorityVisualize.js", "JavaScript", 0, 90, 0, 3, 93
"e:\NewDashboard\client\src\Components\Complaint\Charts\Visualize.js", "JavaScript", 0, 146, 6, 8, 160
"e:\NewDashboard\client\src\Components\Complaint\ComplaintDialog\ComplaintDetails.js", "JavaScript", 0, 85, 4, 12, 101
"e:\NewDashboard\client\src\Components\Complaint\ComplaintDialog\ComplaintDialog.js", "JavaScript", 0, 146, 0, 18, 164
"e:\NewDashboard\client\src\Components\Complaint\ComplaintDialog\ComplaintProgress.js", "JavaScript", 0, 356, 29, 25, 410
"e:\NewDashboard\client\src\Components\Complaint\ComplaintDialog\Details.js", "JavaScript", 0, 18, 0, 2, 20
"e:\NewDashboard\client\src\Components\Complaint\ComplaintDialog\Reason.js", "JavaScript", 0, 98, 0, 10, 108
"e:\NewDashboard\client\src\Components\Complaint\ComplaintDialog\Select.js", "JavaScript", 0, 129, 0, 13, 142
"e:\NewDashboard\client\src\Components\Complaint\ComplaintDialog\SelectSupervisor.js", "JavaScript", 0, 103, 3, 11, 117
"e:\NewDashboard\client\src\Components\Complaint\ComplaintDialog\UplaodAfterImage.js", "JavaScript", 0, 53, 42, 10, 105
"e:\NewDashboard\client\src\Components\Complaint\ComplaintDialog\UserTable.js", "JavaScript", 0, 120, 3, 9, 132
"e:\NewDashboard\client\src\Components\Complaint\Complaints.js", "JavaScript", 0, 676, 129, 69, 874
"e:\NewDashboard\client\src\Components\Complaint\Filters\AllSelectFilters.js", "JavaScript", 0, 62, 0, 6, 68
"e:\NewDashboard\client\src\Components\Complaint\Filters\FilterDrawer.js", "JavaScript", 0, 95, 19, 7, 121
"e:\NewDashboard\client\src\Components\Complaint\Filters\SelectFilter.js", "JavaScript", 0, 108, 8, 15, 131
"e:\NewDashboard\client\src\Components\Complaint\Status.js", "JavaScript", 0, 62, 1, 6, 69
"e:\NewDashboard\client\src\Components\Drawer.js", "JavaScript", 0, 0, 0, 1, 1
"e:\NewDashboard\client\src\Components\Employees\Employees.js", "JavaScript", 0, 9, 0, 3, 12
"e:\NewDashboard\client\src\Components\Home\Charts.js", "JavaScript", 0, 421, 5, 51, 477
"e:\NewDashboard\client\src\Components\Home\FeedbackStats.js", "JavaScript", 0, 151, 6, 30, 187
"e:\NewDashboard\client\src\Components\Home\Home.js", "JavaScript", 0, 306, 27, 43, 376
"e:\NewDashboard\client\src\Components\Home\ResolveTimeAnalysisStats.js", "JavaScript", 0, 178, 1, 17, 196
"e:\NewDashboard\client\src\Components\Home\ZoneStats.js", "JavaScript", 0, 230, 16, 30, 276
"e:\NewDashboard\client\src\Components\ManageComplaints\FeedbackTags\FeedbackTags.js", "JavaScript", 0, 240, 7, 10, 257
"e:\NewDashboard\client\src\Components\ManageComplaints\FeedbackTags\Stars.js", "JavaScript", 0, 101, 6, 5, 112
"e:\NewDashboard\client\src\Components\ManageComplaints\ManageComplaints.js", "JavaScript", 0, 143, 1, 13, 157
"e:\NewDashboard\client\src\Components\ManageComplaints\ReasonforRejection.js", "JavaScript", 0, 203, 3, 13, 219
"e:\NewDashboard\client\src\Components\ManageComplaints\Type\AddType.js", "JavaScript", 0, 111, 61, 13, 185
"e:\NewDashboard\client\src\Components\ManageComplaints\Type\ComplaintTypes.js", "JavaScript", 0, 85, 2, 6, 93
"e:\NewDashboard\client\src\Components\ManageComplaints\Type\Type.js", "JavaScript", 0, 188, 51, 13, 252
"e:\NewDashboard\client\src\Components\Menu.js", "JavaScript", 0, 256, 47, 26, 329
"e:\NewDashboard\client\src\Components\Notification.js", "JavaScript", 0, 30, 8, 15, 53
"e:\NewDashboard\client\src\Components\Profile\Alerts.js", "JavaScript", 0, 171, 20, 10, 201
"e:\NewDashboard\client\src\Components\Profile\ChangePassword.js", "JavaScript", 0, 194, 5, 17, 216
"e:\NewDashboard\client\src\Components\Profile\ImageComponent.js", "JavaScript", 0, 83, 106, 14, 203
"e:\NewDashboard\client\src\Components\Profile\Profile.js", "JavaScript", 0, 454, 42, 27, 523
"e:\NewDashboard\client\src\Components\Profile\UserStatistics.js", "JavaScript", 0, 129, 2, 10, 141
"e:\NewDashboard\client\src\Components\Reports\GenerateReports.js", "JavaScript", 0, 816, 126, 110, 1052
"e:\NewDashboard\client\src\Components\Reports\PdfMakeTable.js", "JavaScript", 0, 61, 0, 21, 82
"e:\NewDashboard\client\src\Components\Routes\AdminRoute.js", "JavaScript", 0, 28, 1, 4, 33
"e:\NewDashboard\client\src\Components\Routes\PrivateRoute.js", "JavaScript", 0, 27, 2, 6, 35
"e:\NewDashboard\client\src\Components\Routes\PublicRoute.js", "JavaScript", 0, 28, 1, 6, 35
"e:\NewDashboard\client\src\Components\Supervisor\AddForm.js", "JavaScript", 0, 531, 4, 25, 560
"e:\NewDashboard\client\src\Components\Supervisor\DeleteDialog.js", "JavaScript", 0, 62, 8, 7, 77
"e:\NewDashboard\client\src\Components\Supervisor\EditDialog.js", "JavaScript", 0, 188, 1, 11, 200
"e:\NewDashboard\client\src\Components\Supervisor\ResolveTime.js", "JavaScript", 0, 219, 0, 16, 235
"e:\NewDashboard\client\src\Components\Supervisor\Supervisors.js", "JavaScript", 0, 831, 151, 48, 1030
"Total", "-", 521, 9045, 1007, 988, 11561
